Description,Price,Rating,Reviews Count,URL,Image link
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","₹9,699",4.0 out of 5 stars,"16,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTMzMDk1Njk2NDU2MjU0OjE2NzEwMzA1Njc6c3BfYXRmOjIwMDYzMjA4Nzc2Njk4OjowOjo&url=%2FSamsung-Galaxy-Storage-6000mAh-Battery%2Fdp%2FB0B4F2TTTS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsamsung%2Bm13%26qid%3D1671030567%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81-fFXQdPTL._AC_UY218_.jpg
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","₹9,699",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS/ref=sr_1_2?keywords=samsung+m13&qid=1671030567&sr=8-2,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81-fFXQdPTL._AC_UY218_.jpg
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","₹11,699",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2XCK3/ref=sr_1_3?keywords=samsung+m13&qid=1671030567&sr=8-3,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81-fFXQdPTL._AC_UY218_.jpg
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","₹9,699",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Midnight-Storage-6000mAh-Battery/dp/B0B4F52B5X/ref=sr_1_4?keywords=samsung+m13&qid=1671030567&sr=8-4,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/812YsUxpyfL._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹13,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Midnight-Storage-5000mAh-Battery/dp/B0B4F1YC3J/ref=sr_1_5?keywords=samsung+m13&qid=1671030567&sr=8-5,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71EjohFmm6L._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Aqua Green, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹13,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Galaxy-Storage-5000mAh-Battery/dp/B0B4F3G74S/ref=sr_1_6?keywords=samsung+m13&qid=1671030567&sr=8-6,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81AQybT5k6L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M13 (Midnight Blue,6GB RAM,128GB Storage)","₹10,999",,,https://www.amazon.in/Renewed-Samsung-Galaxy-Midnight-Storage/dp/B0BMXCZZNC/ref=sr_1_7?keywords=samsung+m13&qid=1671030567&sr=8-7,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/812YsUxpyfL._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Stardust Brown, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹13,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Stardust-Storage-5000mAh-Battery/dp/B0B4F2YTYN/ref=sr_1_8?keywords=samsung+m13&qid=1671030567&sr=8-8,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81-7A8yfUpL._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus","₹15,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Galaxy-Storage-5000mAh-Battery/dp/B0B4F3QNDM/ref=sr_1_10?keywords=samsung+m13&qid=1671030567&sr=8-10,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81AQybT5k6L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","₹12,999",2.7 out of 5 stars,14,https://www.amazon.in/Renewed-Samsung-Midnight-Storage-6000mAh/dp/B0BGBC1M6S/ref=sr_1_12?keywords=samsung+m13&qid=1671030567&sr=8-12,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/812YsUxpyfL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹11,999",2.7 out of 5 stars,14,https://www.amazon.in/Renewed-Samsung-Midnight-Storage-5000mAh/dp/B0BGBDV5ZV/ref=sr_1_14?keywords=samsung+m13&qid=1671030567&sr=8-14,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71EjohFmm6L._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Midnight Blue, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus","₹15,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/Samsung-Midnight-Storage-5000mAh-Battery/dp/B0B4F5L738/ref=sr_1_15?keywords=samsung+m13&qid=1671030567&sr=8-15,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71EjohFmm6L._AC_UY218_.jpg
"Samsung Galaxy A04s (Black, 4GB RAM, 64GB Storage)","₹12,690",,,https://www.amazon.in/Samsung-Galaxy-A04s-Black-Storage/dp/B0BGPBZ3CD/ref=sr_1_16?keywords=samsung+m13&qid=1671030567&sr=8-16,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/91gYpDuqpYL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M53 5G (Deep Ocean Blue, 8GB, 128GB Storage) | 108MP Camera | sAmoled+ 120Hz | 32MP Front Camera | 6nm Processor | 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","₹22,999",3.8 out of 5 stars,15,https://www.amazon.in/Renewed-Samsung-Processor-Purchased-Separately/dp/B0B6ZD8V8J/ref=sr_1_17?keywords=samsung+m13&qid=1671030567&sr=8-17,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81yL2dXKTHL._AC_UY218_.jpg
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","₹9,699",4.0 out of 5 stars,"16,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjI4MzE2ODY1MDQzMjIzOjE2NzEwMzA1Njg6c3BfYXRmX25leHQ6MjAwNjMyMDg3NzY0OTg6OjA6Og&url=%2FSamsung-Midnight-Storage-6000mAh-Battery%2Fdp%2FB0B4F52B5X%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dsamsung%2Bm13%26qid%3D1671030568%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/812YsUxpyfL._AC_UY218_.jpg
"Samsung Galaxy A23 Blue, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers","₹18,499",4.0 out of 5 stars,629,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09VK5D8KW/ref=sr_1_18?keywords=samsung+m13&qid=1671030568&sr=8-18,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/91W42b8YW+L._AC_UY218_.jpg
"Samsung Galaxy S22 5G (Bora Purple, 8GB, 128GB Storage)","₹57,999",4.2 out of 5 stars,24,https://www.amazon.in/Samsung-Galaxy-Purple-128GB-Storage/dp/B0BD4KGS23/ref=sr_1_19?keywords=samsung+m13&qid=1671030568&sr=8-19,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51xkgedPQoL._AC_UY218_.jpg
"Samsung Galaxy Z Fold4 5G (Beige, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","₹1,54,998",4.2 out of 5 stars,56,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B0B8SBNW9W/ref=sr_1_21?keywords=samsung+m13&qid=1671030568&sr=8-21,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/714QNdK8BWL._AC_UY218_.jpg
"Samsung Galaxy M32 Prime Edition (Light Blue, 4GB RAM, 64GB)","₹13,499",4.1 out of 5 stars,"55,099",https://www.amazon.in/Samsung-Galaxy-Prime-Light-Blue/dp/B0BD3T6Z1D/ref=sr_1_22?keywords=samsung+m13&qid=1671030568&sr=8-22,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81OC0ojxH6L._AC_UY218_.jpg
"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","₹18,999",4.1 out of 5 stars,"21,075",https://www.amazon.in/Samsung-Mystique-Storage-Purchased-Separately/dp/B09TWGDY4W/ref=sr_1_23?keywords=samsung+m13&qid=1671030568&sr=8-23,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81I3w4J6yjL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy J7 SM-J700F (Gold, 16GB)","₹6,899",3.2 out of 5 stars,31,https://www.amazon.in/Certified-REFURBISHED-Samsung-Galaxy-SM-J700F/dp/B0744R1NGH/ref=sr_1_24?keywords=samsung+m13&qid=1671030568&sr=8-24,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/716BDbFHFjL._AC_UY218_.jpg
